SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,PSPAverageMBAResult,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,DSP_MBAResultPS_NG,DomoicAcid,ActionRequired
BTX/2011/1903,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-10,2011-07-12,Mussels,Detected,1763,,,,,,,Additional flesh and water samples requested
BTX/2011/1904,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-10,2011-07-12,Mussels,Detected,<RL,,,,,,,
BTX/2011/1905,Camel,B035X,Cornwall CC,SW93428533 ,Porthilly Cove,2011-07-11,2011-07-12,Mussels,,,,<RL,<RL,<RL,,,
BTX/2011/1935,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-12,2011-07-13,Mussels,Detected,1442,,,,,,,Additional flesh and water samples requested
BTX/2011/1936,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-12,2011-07-13,Mussels,Detected,219,,,,,,,
BTX/2011/1937,St. Austell Bay ,B070Y,Cornwall PHA,SX03974945,Ropehaven West,2011-07-12,2011-07-13,Mussels,ND,,,,,,,,
BTX/2011/1938,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-07-12,2011-07-13,Native Oysters,Detected,,ND,,,,,,
BTX/2011/1939,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-07-12,2011-07-13,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1940,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2011-07-12,2011-07-13,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1941,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1942,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1943,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1944,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1945,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1946,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1947,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-07-12,2011-07-13,Mussels,Detected,376,,,,,,,
BTX/2011/1948,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-07-12,2011-07-13,Mussels,Detected,566,,,,,,,
BTX/2011/1961,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1962,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1963,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1964,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1965,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1966,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1967,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1968,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1969,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2011-07-13,2011-07-14,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1970,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-07-13,2011-07-14,Pacific Oysters,ND,,,,,,,,
BTX/2011/1981,Dart,B028F,South Hams DC,SX87415599,Waddeton,2011-07-14,2011-07-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2001,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-17,2011-07-19,Mussels,Detected,1318,,,,,,,Additional flesh and water samples requested
BTX/2011/2002,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-17,2011-07-19,Mussels,Detected,986,,,,,,,Additional flesh and water samples requested
BTX/2011/2003,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-17,2011-07-19,Mussels,ND,,,,,,,,
BTX/2011/2004,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-18,2011-07-19,Mussels,Detected,<RL,,,,,,,
BTX/2011/2005,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-18,2011-07-19,Mussels,Detected,<RL,,,,,,,
BTX/2011/2006,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2011-07-18,2011-07-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2007,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2011-07-18,2011-07-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2008,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2011-07-18,2011-07-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2009,West Mersea,B013U,Colchester BC,TM03091222,Mersea Flats,2011-07-18,2011-07-19,Pacific Oysters,ND,,,<RL,<RL,<RL,,1.2,
BTX/2011/2010,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2011-07-18,2011-07-19,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2011,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-07-19,2011-07-19,Pacific Oysters,ND,,,,,,,,
BTX/2011/2032,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-07-19,2011-07-20,Mussels,Detected,236,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2033,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-07-19,2011-07-20,Mussels,Detected,575,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2034,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-07-19,2011-07-20,Native Oysters,Detected,,ND,<RL,<RL,<RL,,<LOQ,
BTX/2011/2035,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-07-19,2011-07-20,Pacific Oysters,Detected,,ND,,,,,,
BTX/2011/2036,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-07-19,2011-07-20,Mussels,ND,,,,,,,,
BTX/2011/2037,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2038,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-07-18,2011-07-20,Mussels,ND,,,,,,,,
BTX/2011/2039,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2011-07-19,2011-07-20,Mussels,ND,,,,,,,,
BTX/2011/2040,Silloth,B059L,Allerdale DC,NY10055345,Lees Scar,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2041,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2042,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2011-07-19,2011-07-20,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2043,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2068,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-07-20,2011-07-21,Mussels,ND,,,,,,,,
BTX/2011/2069,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-07-20,2011-07-21,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2070,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2011-07-20,2011-07-21,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2071,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-07-20,2011-07-21,Razors,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2072,Southampton Water,B021X,Southampton PHA,SU47780564,Hamble,2011-07-19,2011-07-21,Manila Clams,,,ND,,,,NG,<LOQ,
BTX/2011/2073,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-07-20,2011-07-21,Cockles,ND,,,,,,,,
BTX/2011/2096,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2011-07-25,2011-07-26,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2097,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-25,2011-07-26,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2098,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-25,2011-07-26,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2099,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-07-25,2011-07-26,Razors,ND,,,<RL,<RL,<RL,,,
BTX/2011/2100,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-24,2011-07-26,Mussels,Detected,607,,,,,,,
BTX/2011/2101,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-24,2011-07-26,Mussels,Detected,725,,,,,,,
BTX/2011/2102,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-24,2011-07-26,Mussels,ND,,,,,,,,
BTX/2011/2136,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-07-26,2011-07-27,Pacific Oysters,Detected,,ND,,,,,,
BTX/2011/2137,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-07-26,2011-07-27,Native Oysters,Detected,,ND,,,,,,
BTX/2011/2138,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-07-26,2011-07-27,Mussels,Detected,359,,,,,,,
BTX/2011/2139,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-07-26,2011-07-27,Mussels,Detected,<RL,,,,,,,
BTX/2011/2155,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-07-27,2011-07-28,Mussels,ND,,,<RL,<RL,<RL,,,
BTX/2011/2156,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2011-07-27,2011-07-28,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2157,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2011-07-27,2011-07-28,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2158,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2011-07-27,2011-07-28,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2164,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-07-28,2011-07-29,Pacific Oysters,ND,,,,,,,,
BTX/2011/2165,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2183,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-31,2011-08-02,Mussels,Detected,526,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2184,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-31,2011-08-02,Mussels,Detected,495,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2185,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-31,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2186,Dart,B028F,South Hams DC,SX87415599,Waddeton,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2187,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2188,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2189,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2011-07-31,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2190,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2191,Camel,B035X,Cornwall CC,SW93428533 ,Porthilly Cove,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2192,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-08-01,2011-08-02,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2193,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-08-01,2011-08-02,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2194,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2011-08-01,2011-08-02,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2195,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2011-08-01,2011-08-02,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2196,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2011-08-01,2011-08-02,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2197,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-08-01,2011-08-02,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2198,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2011-08-01,2011-08-02,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2199,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2011-08-01,2011-08-02,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2200,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-08-02,2011-08-02,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2225,Dee,B045X,Flintshire CC,SJ12778573,Mostyn Deep,2011-08-02,2011-08-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2226,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-08-02,2011-08-03,Mussels,ND,,,,,,,,
BTX/2011/2227,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2011-08-02,2011-08-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2228,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-08-02,2011-08-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2229,The Wash,B003D,Boston BC,TF44403720,Maretail,2011-08-02,2011-08-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2230,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-08-02,2011-08-03,Mussels,Detected,242,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2231,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-08-02,2011-08-03,Mussels,Detected,<RL,,66,<RL,<RL,,<LOQ,
BTX/2011/2232,St. Austell Bay ,B070Y,Cornwall PHA,SX03974945,Ropehaven West,2011-08-02,2011-08-03,Mussels,ND,,,124,21,<RL,,<LOQ,
BTX/2011/2233,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-08-02,2011-08-03,Mussels,Detected,<RL,,84,<RL,<RL,,<LOQ,
BTX/2011/2234,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-08-02,2011-08-03,Mussels,Detected,352,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2235,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-08-02,2011-08-03,Native Oysters,Detected,,ND,<RL,<RL,<RL,,<LOQ,
BTX/2011/2236,Deben,B010E,Suffolk Coastal DC,TM29864377,Girlings Hard North,2011-08-02,2011-08-03,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2237,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2011-08-02,2011-08-03,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2238,The Wash,B003L,Boston BC,TF47604700,Wrangle,2011-08-02,2011-08-03,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2239,Southampton Water,B021X,Southampton PHA,SU47780564,Hamble,2011-08-01,2011-08-03,Manila Clams,,,ND,,,,NG,<LOQ,
BTX/2011/2257,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-08-03,2011-08-04,Razors,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2258,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-08-03,2011-08-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2259,Ravenglass,B053D,Copeland DC,SD08139555,Ravenglass,2011-08-03,2011-08-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2260,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2011-08-03,2011-08-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2261,Liverpool Bay - Wirral,B058P,Mersey PHA,SJ26119334,Leasowe North,2011-08-03,2011-08-04,Cockles,ND,,,<RL,<RL,<RL,,1.1,
BTX/2011/2272,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2011-08-04,2011-08-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2273,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2011-08-04,2011-08-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2297,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-08-08,2011-08-09,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2298,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-08-07,2011-08-09,Mussels,Detected,236,,,,,,,
BTX/2011/2299,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2011-08-08,2011-08-09,Surf Clams,,,ND,,,,NG,<LOQ,
BTX/2011/2324,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-08-09,2011-08-10,Mussels,Detected,331,,,,,,,
BTX/2011/2325,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-08-09,2011-08-10,Mussels,Detected,480,,,,,,,
BTX/2011/2326,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-08-09,2011-08-10,Mussels,,,,58,<RL,<RL,,,
BTX/2011/2327,St. Austell Bay ,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2011-08-09,2011-08-10,Mussels,,,,426,<RL,<RL,,,Additional flesh and water samples required
BTX/2011/2328,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-08-09,2011-08-10,Mussels,,,,55,<RL,<RL,,,
BTX/2011/2329,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-08-09,2011-08-10,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2330,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-08-09,2011-08-10,Native Oysters,Detected,,ND,<RL,<RL,<RL,,,
BTX/2011/2331,Deben,B010E,Suffolk Coastal DC,TM29864377,Girlings Hard North,2011-08-09,2011-08-10,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2332,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-08-09,2011-08-10,Pacific Oysters,Detected,,ND,<RL,<RL,<RL,,<LOQ,
BTX/2011/2333,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2011-08-09,2011-08-10,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2353,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-08-09,2011-08-11,Mussels,ND,,,,,,,,
BTX/2011/2354,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-08-10,2011-08-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2355,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-08-10,2011-08-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2356,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2011-08-10,2011-08-11,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2358,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-08-11,2011-08-12,Mussels,ND,,,<RL,<RL,<RL,,2,
BTX/2011/2359,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-08-11,2011-08-12,Mussels,ND,,,<RL,<RL,<RL,,1.7,
BTX/2011/2360,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-08-11,2011-08-12,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2361,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-08-11,2011-08-12,Cockles,,,,<RL,<RL,<RL,,,
BTX/2011/2381,Three Rivers,B071D,Carmarthenshire CC,SN33200860,Ginst Point - West,2011-08-15,2011-08-16,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2382,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2011-08-15,2011-08-16,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2383,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2011-08-15,2011-08-16,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2384,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2011-08-15,2011-08-16,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2385,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2011-08-15,2011-08-16,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2386,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2011-08-15,2011-08-16,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2387,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2011-08-15,2011-08-16,Pacific Oysters,ND,,,,,,,,
BTX/2011/2388,Blakeney,B006R,North Norfolk DC,TF91814545,Wells ? The Pool,2011-08-15,2011-08-16,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2389,Southampton Water,B021X,Southampton PHA,SU47780564,Hamble,2011-08-15,2011-08-16,Manila Clams,,,,,,,NG,,
BTX/2011/2391,North Kent Coast,B17BD,Thanet DC,TR27406970,Minnis Bay,2011-08-15,2011-08-16,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2392,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2011-08-14,2011-08-16,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2423,St. Austell Bay ,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2011-08-16,2011-08-17,Mussels,,,,190,<RL,<RL,,,Additonal flesh and water samples required
BTX/2011/2424,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-08-16,2011-08-17,Mussels,ND,,,<RL,<RL,<RL,,,
BTX/2011/2425,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-08-16,2011-08-17,Mussels,Detected,<RL,,<RL,<RL,<RL,,,
BTX/2011/2426,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-08-16,2011-08-17,Mussels,Detected,480,,,,,,,
BTX/2011/2427,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-08-16,2011-08-17,Mussels,Detected,479,,,,,,,
BTX/2011/2428,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-08-16,2011-08-17,Native Oysters,Detected,,ND,<RL,<RL,<RL,,,
BTX/2011/2429,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-08-16,2011-08-17,Pacific Oysters,Detected,,ND,,,,,,
BTX/2011/2430,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-08-16,2011-08-17,Mussels,ND,,,,,,,,
BTX/2011/2431,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-08-16,2011-08-17,Mussels,ND,,,,,,,,
BTX/2011/2432,Poole,B54BL,Poole BC,SZ01818871,West Brownsea 1,2011-08-16,2011-08-17,Pacific Oysters,ND,,,,,,,,
BTX/2011/2433,Silloth,B059L,Allerdale DC,NY10055345,Lees Scar,2011-08-16,2011-08-17,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2446,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2011-08-17,2011-08-18,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2447,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-08-17,2011-08-18,Mussels,ND,,,,,,,,
BTX/2011/2448,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2011-08-16,2011-08-18,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2452,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2011-08-18,2011-08-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2453,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2011-08-18,2011-08-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
